athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,start_latlng,end_latlng,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,flagged,gear_id,upload_id_str,average_speed,max_speed,elev_high,elev_low,total_photo_count,has_kudoed
"{""id"":24474891,""resource_state"":1}",Morning Run,10064.4,2963,2963,28,Run,3,4248533084,garmin_push_5733759808,4544959418,2020-10-27T04:38:36Z,2020-10-27T05:38:36Z,(GMT+01:00) Europe/Berlin,"[52.472659,13.318096]","[52.473314,13.315938]",0,5,0,1,0,"{""id"":""a4248533084"",""summary_polyline"":""aqg_IaehpAYlACZ?XDV?LHNDX?x@KfA@D?TEbBGv@Kh@?ZEt@BJ\\XTFxADRPPTh@`@|An@TXDPRT`@Tv@Vd@h@d@\\n@PTLj@`Ax@~@|@rAfAdAPTFVBd@FN`AdB`@b@T`@D@FHTnB@ZDRd@`AHl@x@bBLZPRRb@RVNP\\PBD\\HJFJJL^Z~AFl@JbBDLRTBXLbDLpARxD?XNbCHfCHl@JxEJvADdBR~Cd@vCVv@TjAb@tA@PCd@C~@@NJTPf@V|Af@bBZz@d@`Bn@fBVf@L\\RZLX`B`CdA|@pAp@XL`@Jd@TnBl@~Bz@tAZtC|@tAr@l@^\\Nr@j@H?BCP]LON@z@z@rAt@TPp@p@d@`@fBlBp@h@`@Rl@`@jBfBb@\\v@z@ZTRTjAhAh@l@b@Z`@VNNXd@l@v@n@jA`@z@`@|ALr@Pb@v@~BtArCNd@r@hCt@tBVdAb@nADPLbADtCLr@E\\QXWfBOrBCp@QvAIjAElBBnB[tHCfCQ`EEbCG~A@NFLTPp@Vb@Z`@RN@FIXoBD{@FmCEeD@u@@_@PsADy@Nw@XiAd@}@pAsAf@aA`@wAbAwCd@aBd@iA|AoEr@sDj@qGV{AR{@@KKMoA_AI?CB[z@Qv@WbBCRHTAHYbCO|AKb@MXKA_DqA]IuAk@SB]Pi@b@u@`@KSS}@Q_@w@aDqAcEQu@Ki@c@kAm@cASe@w@qCG[Ok@[i@w@uBq@uAg@u@QSIGY[w@i@_A{@[KSMe@g@Qc@UOMGi@e@ICMK}BwBSC[UcAiAaAy@]_@QGc@_@UIyAmAeAcAICa@HuADa@Sa@YkAk@m@MyC_A}CoAmDiA_Ai@k@g@e@g@MWeAgAi@cAk@w@qAiCMe@o@}A_@gAUy@_@kBYy@Ci@D_AE[oA}Dm@kCQkBMyBIw@C{@_@qEGaAEmAYiDEcAIo@UgEGiBCmAq@_CWoBI[GKSY_@I_@a@m@yAK_@Sg@i@s@GOScAIM?QEc@W}ACq@IWe@y@QSOQ]Qo@gAm@u@e@s@e@i@e@y@k@k@_@i@gAeA}AqA_CoAy@w@w@g@m@OMQMYIMQE}@Ac@WY@c@GIAMIKUA[@u@CG?i@DmB"",""resource_state"":2}",,,,,,g6367487,4544959418,3.397,5.7,59.6,41.4,0,
"{""id"":24474891,""resource_state"":1}",Morning Run,10037.8,3119,3137,29,Run,0,4239705878,garmin_push_5723970070,4535585667,2020-10-25T04:37:51Z,2020-10-25T05:37:51Z,(GMT+01:00) Europe/Berlin,"[52.472768,13.317976]","[52.473325,13.316048]",0,8,2,1,0,"{""id"":""a4239705878"",""summary_polyline"":""wqg_IidhpAG`@GHAXJv@CHPP?VJh@Gh@AN@TET?RQz@IbA@TGr@B|@PRTJZDTE\\Lh@f@f@`@`Ah@d@NLJPHr@l@|@d@`A`Aj@RXDNLZl@\\^T`@xAdBVP^`@Xj@Jr@n@`ATZb@X\\ZVXBNFrANbARz@LRFh@F^Tl@h@fANf@l@fAXRj@FRTL`@b@bCLzBDLRRLp@TrENzDPbHFdA@z@ThDJpCRfDf@lCNj@Jp@Xp@`@vA@FM`@@`ADRNVT|AXnAVt@`A`CLd@x@~BBJLZvAtBRVn@h@\\\\\\RDHh@^p@^l@NvFxBtCz@vBf@x@`@`Aj@pBCVPv@n@^Pz@n@h@n@jDpCrAvAd@Z|ArAhCpCbBnAlAjAd@p@jAnA^p@Nd@Vf@FV`@|@j@tBXv@nA`CXv@d@jBVt@Tz@`@fAR`@r@|BPpAHnCJb@Ed@OPGJM|@Ep@OrAKdCObBOvHObCGzBGdAAXDXEpAUbECtBDXFHdBfAh@TN?XgAJsA@a@Fc@@q@FqA?cBHoAF}CTqANq@Vo@X_@~@cA\\o@`@wAJMj@yAnAmEz@yBt@eCZyAJy@J}@LwABw@JaAn@kD@MCEu@s@[UG@M\\]pAOz@KrAq@|FGVGJGDwAe@[Sg@Qq@a@}@[M@gAv@]L]VI?kAwDk@gC_@oAQq@eAwCkAeCEWQg@G[[u@UaAM[mAsCs@mAc@o@UWIII@}DaESKWYm@c@WWYa@a@WSS{@aAsBqAc@g@kB_BKGm@k@qAeAg@WWWIA_BTWCYOa@c@w@g@}DsAaBc@kCiAmBk@_A_@_@Ww@{@aBaCaAiA_AcBk@u@OUQe@[iA]{@[gASiAOg@Wg@G}@?i@C[[oAs@{Ba@mBGo@KmBU{IEq@g@oLCo@Ic@SsCC{@Gq@EcAEMOWMaASw@W}@i@gAOIOCa@[GKGc@g@iAcAyAGKEUCq@ESKODUE_@Qo@_@u@Q{@MMUCaA}@CG@UQw@MWU[k@kAuA{AMUk@g@g@s@m@c@w@s@k@[q@o@e@W[]SMg@i@i@a@}@g@SUKSYEc@F]AMCi@Yy@GQKCECM@oAGO@yAE{@"",""resource_state"":2}",,,,,,g6367487,4535585667,3.218,4.7,61.2,43,1,
"{""id"":24474891,""resource_state"":1}",Morning Run,12005.6,3823,3836,29,Run,,4231389377,garmin_push_5715226013,4526794258,2020-10-23T03:27:58Z,2020-10-23T05:27:58Z,(GMT+01:00) Europe/Berlin,"[52.472717,13.317815]","[52.473123,13.316865]",0,7,0,1,0,"{""id"":""a4231389377"",""summary_polyline"":""mqg_IichpA?PMp@Bz@LNFT@`AJb@BVK^QxAS`@E^EfBCBVFVZ`@DdAd@h@`@b@h@HBnCbBZNb@HbB`BZP|AlBr@l@x@|@|@pAHj@P`@jBlCNb@LLb@rCl@|AZhAf@z@l@zA`@n@NLl@JHFJPLb@Rp@Ht@HRRhBBFNJDLVxEB|DTlILbBBhA`@~HPrBPlAd@~B|@fDBPAnBZ`A\\dBd@bBRd@^lAt@nBn@vAh@x@lA`B`Ax@b@Xl@h@ZPd@PrA\\bDrAvBn@dAh@vBh@dB|@j@D~@Ij@T~AnAv@x@tBfBNTp@n@|AtAnCnB`CbCv@n@p@r@xAjAdAtApAdCb@dAb@fBXn@b@vA~AfDr@vBl@~AdAvDTl@ZhBDl@?rALp@E^U\\[~AGl@O`DAx@Eh@KtBKlFGzAEdCMxBCtAU`FDnDYdDCzEKhBCfCI|B?l@IzAGzDKxCIzAG|@?t@GdBBx@IvAA`BD`A?~CBj@AbAB^A`BFlA?dBHnA@|ACr@VtDz@nIZ~ANzBThBD^T`AF^h@bCp@~BBPAL_@JMKGKOu@Uo@W}Aa@iBISOgAo@kCIaAWoBWkCG_@MeBQmAKaA?YKwB?{@OmF?q@EiC@mCCiCLwABoCHaCJ}FJaBD{A@gEDi@@cAViEBwADg@@gACu@@m@RmBAgBAGCALw@JyA@iDP_DJiDN_DNeE@OHOd@WDIFkAHkDH}@LcDNeAHULGDe@Gi@EyCKq@a@cBo@cDUk@Su@a@s@aAoCc@}@}AcFaAiC]u@y@qAg@m@kD_Dm@g@cAkA_BoAk@q@yBgB[[YU}BsB_Ao@k@g@g@]y@_A{BJUOe@c@gAk@}Aa@{@_@oA]oCcAi@K{CkAy@c@eAw@g@q@aAeA]a@c@w@w@}AYs@IUCYOq@kAsCg@iCWk@Go@AmACYS}@Yy@WeAi@oCU{BIkBG_BEoDQsCOgFUcEUqGI[OSYcCKg@c@wAKIm@OWO]i@Qg@}@aBSWQOGw@Ou@AOCAEYEe@GWOsACOIQMMg@w@g@c@w@{Ao@_AkAsAa@][e@YU{AaBm@c@s@_@s@k@s@a@gByAe@Ya@MMQWi@{@F{@Wo@Eg@MEMIiA@[C_@FkBAi@Dq@CSD{@DO"",""resource_state"":2}",,,,,,g6367487,4526794258,3.14,4.5,60.8,41.8,0,
"{""id"":24474891,""resource_state"":1}",Morning Run,10005.2,3089,3092,26,Run,,4227080957,garmin_push_5710781375,4522241071,2020-10-22T03:37:27Z,2020-10-22T05:37:27Z,(GMT+01:00) Europe/Berlin,"[52.472763,13.31784]","[52.473166,13.316608]",0,7,0,1,0,"{""id"":""a4227080957"",""summary_polyline"":""wqg_IochpAGLCPEPCb@DZBFTTJt@FvAEPQb@@x@C`@?^O~A@ZE^FFRFb@Tt@FNAJBd@f@RJDHHDC?@Bh@\\X^NJPBl@\\x@t@NFD@VTXJt@x@TNVXXRtAjBd@d@BFr@p@`@h@DLBXHPd@r@t@~@NXJ^NZHfAj@vBh@tA`AtBx@zATX`@PNBLJTb@Pn@BDLv@L^NbBPPFJ?v@L~C@~@N`DFZJlC?d@HbCBzBLnEJdB\\~Cf@vC^nAj@hC?PEJAN@x@BV^fAZfB^pAv@tB\\dA~@rBr@jAtAjBb@b@z@t@`@V^R`@Pn@N`Ad@b@JtCnAvAb@h@J~A`@bCdA^DlAEdAh@l@j@|@h@pApAb@f@PLx@v@l@b@x@z@tAhA~@~@d@\\~@`AfB|Aj@r@^ZB@JC\\^R`@bApAt@|AhCnHd@`A`@r@^|@XbA`AhC`BhFPnB@|ANt@El@KJEN]bBIn@IpCIdAEhAGrDG\\G~AI~@EjDKxB@z@El@A|AKlAInBDVRRlCdBFGHYN_AFs@JgDPuBJsC@yAJiAN}@Tm@Pa@XWj@u@RSr@yBBC|AkET_@bCoGZkALm@X_CZ_EPmA^mB?M}@aAQIKFUd@[hAM~@c@~BKv@AZSlBIVGHM?g@Ui@QiB{@e@UUQKCM@SHsAt@WREAKYYkAOe@[sAIOYuAY{@W]c@_Ac@}AO_@]o@Si@[qAi@qA]iA_BeDsAwBwBgB_DeDaBwAeAmAUOo@m@}@s@m@k@_BgB]MWQmAiAu@{@ECMCUBq@?c@DMAk@Qq@g@y@c@wA]o@[wA]QMs@Yq@_@y@Yy@_@WEqAe@sByAmAwAW]_@cA]o@w@kAg@}@M_@o@kAi@sAQk@]yAUm@Gk@?u@A[UmAi@gCIk@Qk@UeBOoAQwCEgA]eHQwFo@yMOi@Mm@U{A[mAO_@WYg@SQQ[k@}@sB[_@S]KYGi@Mk@KOKuAYeBS]KIm@aAg@m@Qe@{@kAIQUW}@}@MQg@c@q@w@gA}@e@i@o@_@g@Ui@]a@Oa@[kAq@w@o@Ue@QYi@K[?UAa@Qs@IUSGKCWImB?y@L}C?a@"",""resource_state"":2}",,,,,,g6367487,4522241071,3.239,4.5,58.2,38.6,0,
"{""id"":24474891,""resource_state"":1}",Morning Run,8014.9,2495,2500,24,Run,,4214414256,garmin_push_5697268062,4508811849,2020-10-19T03:41:24Z,2020-10-19T05:41:24Z,(GMT+01:00) Europe/Berlin,"[52.473012,13.318085]","[52.473255,13.316612]",0,6,0,1,0,"{""id"":""a4214414256"",""summary_polyline"":""isg_I_ehpAJFFXC|@@b@AFHLXPHXBPCv@R~@@PM^EZBn@Gl@AbA@PZjAKAGC@EFEJBHFd@BLDRPZ^ZTb@b@f@b@NXLNnAv@RDTLFABCB@^\\x@x@v@f@v@bAb@^p@v@JR`@`@z@jAFR@VHPlBpCVf@NdAVtAb@nABVVn@^v@Rd@Zj@JFR^TXVNb@NXTHRb@lBDt@J\\@`AFLTNDXRfFFjAFbEXzH?~AFtABfA^xFV|A|@bEb@rA@PEtABX^x@TtAn@|BTf@bBxEn@jAlAfBdCdCh@^d@RNJPFN@RJTBr@T|@n@`Ab@n@PZLdB^rBn@b@Pl@\\^LZ@xAEND`@Tt@t@d@^FJXZ`@\\d@Z`B`BrAhA\\^nB~AJNl@d@X\\fClB`BbBr@d@hA`B`AjBNZHb@Xp@PX|@zC^x@l@z@N\\`AvCt@tBv@vCX|@P^PrADbBAd@ENSTUFO@KEEGIiAIg@Gu@e@qBQg@Qw@c@mAw@yC[_As@cDq@oB[q@yA{DO[_@m@g@i@_@WeAmA]Sm@o@}AsAyA}@a@_@a@WSSY_@w@s@QU_AaA{@o@WOw@u@YI[o@y@}@QOw@iAm@e@YOm@c@i@WQEI?i@MwAq@o@Qm@U[QSEiBo@i@[}@Oi@Mm@Yq@e@iA_Ae@g@m@{@k@gAsAuB_@u@U[gA_Cg@sAWu@EYe@aBMq@?}@Ea@[yA[eAOs@g@{Ca@_FOmEGm@OuCKiEIoAC_BYeIEWKMEOSuACg@}@yB_@]UGWSuBiD[m@OeAIQ?YQ]]uCGUw@uAk@e@M_@Sc@s@_Aq@gAYUg@u@_AeAa@_@Y][USW]Se@QOMcAk@iAw@MUe@_@e@i@_@IIE[m@IGe@Io@BMAOKKAgACMKI]AkBBY@sBHyA?S"",""resource_state"":2}",,,,,,g6367487,4508811849,3.212,4.5,59.6,42.6,0,
"{""id"":24474891,""resource_state"":1}",Morning Run,10013.6,3162,3162,31,Run,,4209309458,garmin_push_5692110883,4503397639,2020-10-18T03:44:21Z,2020-10-18T05:44:21Z,(GMT+01:00) Europe/Berlin,"[52.472758,13.317844]","[52.473241,13.316018]",0,6,0,1,0,"{""id"":""a4209309458"",""summary_polyline"":""uqg_IochpAQb@ATDf@AFIFZl@DPBTB|@?RGZ@^CfBId@?VEVH|@IR?Dv@Rh@@RHx@v@`@T^^NJh@p@nAfANFNLNDd@d@n@b@XHTLPD|BbClBhCLXBVP\\bBrBXd@R`BN|@d@nA@JZfAR^\\`@HTb@l@T`@`@^TLVFDAVHFLNJXj@ZhB?zBDLJNBL@j@NjDJnDRtKLdDD`DR`DVvB^jBlAtEClB@RR^L\\ZvAn@dCVf@Tt@pAfD~@~Ax@`AJRl@n@\\R^\\^Ld@Z~@\\t@Tf@TjAz@z@`@bAXnAXt@TzBl@ZPj@Vh@Bb@Gf@Dr@\\Z\\XTx@x@vAnAZ`@~@z@z@n@l@l@lBzAn@`@\\Xt@|@~@p@lClCj@d@r@x@l@`A`AvBrBvFzAlDn@jBp@hBn@dC`@jA\\~@TtAF|BL`@BNEXEHMJCL_@|BIv@IpBQxBE`Dc@zICxBGpAG~DMpDD^JRNNh@b@n@Vf@\\D@DI\\cBHeBB}ALyBBkDJeCFm@R}@^w@j@s@\\]DAPW^_Ad@mBTs@d@{@Xw@`@y@^cAbBqFLs@Jy@`@sFXwBRiADi@AIgA}@IAGDg@bBMz@UtB_@fEIl@OXI?yAm@y@]{Aw@OEO@iAt@WJ]XI@Oa@Ok@Sc@c@cB_AgC_@kAm@{AI_@Og@o@mAS}@Uo@GWc@yAm@yAOq@y@eB{AmBsBgBoAuA{AqAm@q@aAs@[_@eBsA[[g@]MOuAkA_@c@_E}CQGSBg@A]BSCg@]SSu@a@UGc@Ew@QkAe@_AW[Qu@Ya@UmDyAkB_Aa@Wu@m@{@eA_@e@u@aB_@}@m@mA_@y@Ka@Q_@iAeD[kAO_@Kc@Ce@?gAYwAOk@{@cE_@{CSwCKmEQiCSmFMeBQwEAsAIgBCOUs@MkAWu@Uk@Sk@MMm@]MKc@s@k@oAu@oAUeAO_@AUEBEq@O_AGo@Me@gAaB]]a@cAe@k@_AmAu@s@g@o@KU]c@o@e@wA{A}Au@e@[UYaAu@iAm@[KMOMYKKUG_AC_@OSDY@_@GMEMYEuA?_AFwB"",""resource_state"":2}",,,,,,g6367487,4503397639,3.167,4.9,63.6,43,0,
"{""id"":24474891,""resource_state"":1}",Easy Morning Run,10053.4,3116,3137,35,Run,0,4192372494,garmin_push_5674574669,4485376169,2020-10-14T03:40:39Z,2020-10-14T05:40:39Z,(GMT+01:00) Europe/Berlin,"[52.472842,13.317685]","[52.473319,13.316065]",0,7,0,1,0,"{""id"":""a4192372494"",""summary_polyline"":""grg_IobhpAG@EFAp@PZ?RL\\Lt@?HEDMf@@z@Ef@@f@KfADz@Lh@GH?DNFL?JHh@FZJt@p@v@h@TH\\\\f@Lb@Xn@Tb@\\HLVNPZV\\j@ZJRJH`@v@n@j@Z^PZ\\d@fAbATd@?TBL^r@LJdAnAT`@Tn@f@vCh@dBVh@RXTr@Tb@RRLVHDx@Tb@EPBNLR^Bt@JdAA~@HjBBLRPBLVtHHhEJtAPnFDjAJ~@T`GN`Bd@|C\\`Bn@fCAbBDb@`@`AX~AZjA^~@z@nCf@dAPVfAvBLPn@p@tAlA^Vr@l@dA`@tBj@tB`A\\Fj@VXFt@ZlBb@p@Vp@^n@XJ@j@It@?ZRjAbAHHbAr@h@f@D@p@p@p@h@bAhAhA~@PTd@^J@RPp@r@dCvBj@n@l@\\jAhARNjAhB~AfD\\x@Pn@hA~Cb@|@JN`@dAn@fBLd@`@pAFZj@~ARz@^rAPdB?`BNf@@HG`@MHGHOt@In@OhCEzAM~AKx@ChC@j@CpAS|GKhAKjBC|CMrC?PDLt@h@|At@FADGTeAFc@J{D@kAJsABwAJqBBgAJiAPq@\\w@h@q@NM`@Sb@y@b@qAJk@X_Ah@yAHQH[h@wALg@PUVk@j@aBd@uBLcAL_APsC^}CP}@AMg@_@WYIEKDUn@Mj@O`A}@fJKb@IHI?wAg@kDeBWOe@Jg@\\UHSZSPG?_@wAWw@{@cDaAiCm@{Bc@cAK][e@g@uAk@eBUk@Oc@{@kBOc@o@mAk@s@QWe@Wo@o@w@_AcA}@WMiAmAsAeAaBaB_CgBu@s@qA_AaAaAo@e@[[QUcB@YCeCkAg@Mc@Ug@MaAi@q@Qs@Y}@OyAg@a@U{@a@e@[m@SWOkAmA[_@q@s@_@c@k@{@o@wAi@}@k@gBQYi@kAa@wB_@eAGw@AiAC[eAkE[kBSgBMuBKwFc@mGQuDGeDKkBA{@OqCCGU[EMIk@Cq@YiA[y@OOm@Qc@SIKGOW[e@{@U]O_@U_AKu@Uy@WiBScAGUc@q@[o@[c@[q@sDqEgBoBu@m@YYg@Y}@o@a@QOMMGMOaCgBQEYBg@aAq@IW?e@QmA@KEIKGMBc@Aq@N}D"",""resource_state"":2}",,,,,,g6367487,4485376169,3.226,5.2,60.4,41.4,0,
"{""id"":24474891,""resource_state"":1}",Morning Run,8015.2,2346,2346,27,Run,,4183789092,garmin_push_5665566106,4476200977,2020-10-12T03:43:19Z,2020-10-12T05:43:19Z,(GMT+01:00) Europe/Berlin,"[52.472699,13.317878]","[52.473142,13.316613]",0,7,0,1,0,"{""id"":""a4183789092"",""summary_polyline"":""iqg_IuchpAIlAFb@LP@LIFCHAvAE^?`@Gd@CfBEp@@b@Eb@BVCBL@RDPNf@?ZPr@j@\\Ph@`@TDNAh@^PX`@\\~@d@|@t@LRPPb@ZLPZRRRTd@^f@`@^RVT`@fApAJV@RDJf@r@Xl@`@h@Zj@Tt@^`CTp@ZlARb@V^JBf@`@HVv@hANFZDZKV@NN`@|@Lb@Kl@C`@?zAF~@JNDX@\\NzBVvGD^JfCDl@D~A?v@LfCBbBd@|HTxAVnAt@hCJl@@XG|ADVP\\l@tC^lAn@tATx@`@hA~@pBh@dA`ApAb@\\h@h@t@h@\\PtC~@lDxAd@JrDlAlA\\tAr@d@@x@IPBRFtAhA^b@XT|@p@dD~Cl@\\pAbAf@h@ZTt@x@PJRTnBzAr@l@z@dA`A~@tAlBr@xAHTH\\Tl@`@zAd@tAbApBb@jAt@fClAbD|@dDT`BBfBATKTQLQDM@IEIICMAm@OkB]_BQo@Qc@a@_Bi@wAWgAg@eBWiAm@qBUcAgAyC[k@c@aA_@i@[]i@[e@g@}@q@y@w@aAgAcAw@o@_@i@g@s@s@UYq@g@U[sB}Ak@_@_@_@OI[g@a@a@c@m@WU]g@y@y@i@Ui@_@y@c@}@OcAe@m@OYOSCk@QeAa@QM_@Ms@e@s@]i@]QCo@[C@YO}@o@e@m@m@o@U]IU{@cAeAiB_@}@Og@Yg@gAcCm@}B[w@SiADk@a@}Bc@_Bg@iDQ{AGsAScCWqJO_CSkHWgFCYMOGMIw@WaB[qAGQYSECUASE_@WKMQc@Qy@K[[e@_@w@KKMg@OYAg@Gs@W}ASe@m@y@Yi@SSo@cA[Y]g@aBqBYYw@eAm@m@USU[o@k@aB{@]OaAw@e@WUUSOA@[Q{@o@MEiAKg@Kg@?MEIIEUB}@C{@DyAAa@HmBB]"",""resource_state"":2}",,,,,,g6367487,4476200977,3.417,6.6,60.8,43.2,0,
"{""id"":24474891,""resource_state"":1}",Morning Run,8010.6,2553,2553,20,Run,,4171149462,garmin_push_5651762313,4462763830,2020-10-09T03:47:03Z,2020-10-09T05:47:03Z,(GMT+01:00) Europe/Berlin,"[52.472817,13.317789]","[52.473267,13.316599]",0,3,0,1,0,"{""id"":""a4171149462"",""summary_polyline"":""arg_IcchpAIHEN?^Hr@CH^h@J^CD@TCF?VIDA\\Gd@Bp@A`@]`BBl@Rd@HJPFLLLFJBRGDEFFD?v@z@V\\|@PRLHN`@b@hAl@XHHDh@l@b@ZDHPHNRRPXd@X\\P\\rApA`@l@VTb@j@?JFNAJLRn@~@RRJFRPj@bA^lBN`ARz@f@nAl@x@bAfCPVTRJFZDVTVZRl@Lh@RtCDNLLDLBvCXxE@`AFj@D`AFl@DdDL`CJ`ABxARxD@h@P~AHfAT|@F`@JVF`@j@xB@PCb@Cx@DXVn@Vz@Nv@`@dBXr@`@v@X`Al@|At@pA^x@`@j@jBfBn@f@n@^l@Vl@NjC|@|Ar@jAVv@XlBh@f@R`Ah@PDPDP?`@Gh@ETDJF|BlB`AhARJ\\ZRJj@^Xb@XV^d@VNZZ~@r@\\^l@j@ZTrBnBz@p@bA`APL^`@z@pARR|ApCTj@Tx@LXjA~C\\v@TXh@rAp@jC\\fADVN^f@lBb@nAJ`@Db@FhCE`@SX[FOEEKOeC[mBqB_Ga@aBw@{BKcAQ}@[gAGc@Yo@Ok@_@_AI[KUI[Wg@m@m@s@e@e@e@{A_AqAuA]c@YQMMkA{@Y[]UOWMIQW{@y@QYaC{Am@][_@QOQc@{@_AGMQO]_@OYUY_@Yw@_@a@a@gA[w@Ka@KOK}@]y@k@m@Qg@][Mq@]USI?WIe@Ym@UGCEDg@?SEUQWSY_@m@q@Ua@WO_@e@UOUWuAkCS[]s@o@aBa@y@Uw@e@wBYi@KkA@o@A[UgAk@gB]kBIaAc@{DG_COwC?s@E{@AqAUwDI_CMoAEy@A{BG}AGc@MY]gCe@gBISQMSGUASKMMQWWs@YcAQWQM]a@Kq@Oi@Iu@WcAQsAaAuB[YOYg@k@q@eAaAkAKQuA}Ac@k@e@c@c@WW[s@Yi@Yy@m@[Oy@{@]Ug@OSC]OOSI_@OOk@Ke@?m@YOCEBU@GCMMEMGuBDw@?}@NoB?U"",""resource_state"":2}",,,,,,g6367487,4462763830,3.138,5.9,57.2,37.6,0,
"{""id"":24474891,""resource_state"":1}",Easy Morning Run,12014.1,3800,3800,28,Run,0,4148140360,garmin_push_5628648589,4438408401,2020-10-04T03:32:58Z,2020-10-04T05:32:58Z,(GMT+01:00) Europe/Berlin,"[52.472385,13.317843]","[52.473233,13.316623]",0,6,0,1,0,"{""id"":""a4148140360"",""summary_polyline"":""kog_IochpA_@\\IPCXc@AOPRXB`@If@AbAKrAIp@Ux@?HGl@Pv@z@V`@Zz@^HCd@b@x@b@VHb@Dr@r@d@p@\\Pv@Hv@`Ap@RNNRXDXZj@bAz@hArAt@nAFRDd@b@v@Nb@n@r@b@hAN`AbAxDJl@~@jCp@fAp@XX?PHRTZ|@TnALvBDJRPFT@z@TxDPzEDzDd@tIHlDAf@N|@H|A\\dB^fCp@nB@vADp@Vr@\\fBh@lBb@|@j@rAX~@^r@n@bBl@z@dAfAdA|@dAn@tAj@pBh@|B~@hGhBdA`@n@h@VDvAK`@LbAdAp@Zd@n@bAr@hBlBhBvAr@`@bAhANVx@l@~DvDj@\\rBfCp@pAVx@\\tAl@pBRZp@tBr@dATh@ZhAJl@DLNLZ~@DXd@jAF`@ZhAHf@X|@Dx@Jv@AJ?ZTv@?NAPWTK^SjBEpA@rAQxB?n@KnAIxEEd@At@Kx@A|AO`CIfCA`BI~AA~@Dx@c@vGApBQdFCxADtAKtBCdABbCWhDKhB@x@QpCEpB@hAMjDAdBFjBE|@?|ADt@Cv@JfB@|AJ`AJrBFv@N~@TbDt@|E?n@DlARl@t@fE`ApDAf@OXK?OYKy@_@aBEg@o@qCUoBWeAIaAM_@o@uGg@cH?m@Iy@IeEAcDGuAEaFLkEAmA@gBXcFDmBAq@J_EByCJoB@uABg@Co@^}FG_DF{Af@yIFqFNqDXuFHQZEJUBqAJqBPaB?eAHcBRwATc@D]Ca@@w@MmCA]Ou@g@sAc@uAIe@a@w@]aB}@iCYc@Sq@]k@y@mCUW}@yBy@cBkAcBiAoAYQOSm@i@g@][E[i@cAw@Yc@SQe@Sa@]SYqCyBoAqAa@WwB{Bu@k@{CK{AcA_AUmAg@sEeAs@[w@k@wCgA}BiBY_@k@c@]u@m@s@]cAe@o@k@uB}@aBu@}Bi@wBQwAEiAs@aDg@oCo@iICsBMuCCwAi@sK[_DGcCc@cCI{@[wA_@m@e@EUKY]m@}Am@eAQc@OeAw@oCUgBq@{@m@g@I_@Sc@Ya@k@m@i@{@wAkA{AoBkAy@wAuAoBiAo@g@QEuA{@_@y@]I{@Ew@WqAUMICE@WRo@Dq@DyCLuA"",""resource_state"":2}",,,,,,g6367487,4438408401,3.162,5.3,65.8,46.8,0,
